gene.name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3	
ENSG00000044115.20	24139	25572	24346	24888	24460	22244	
ENSG00000232174.3	0	0	0	0	0	0	
ENSG00000238745.1	0	0	0	0	0	0	
ENSG00000253404.1	17	22	23	28	21	13	
ENSG00000146006.7	0	2	0	0	3	0	
ENSG00000120725.12	1903	1974	1610	1951	1896	1746	
ENSG00000201532.1	0	0	0	0	0	0	
ENSG00000285956.1	0	0	0	0	0	0	
ENSG00000249593.6	3	6	3	1	3	5	
ENSG00000242683.1	0	0	1	0	0	0	
ENSG00000252533.1	0	0	0	0	0	0	
ENSG00000280987.4	3	3	7	4	2	3	
ENSG00000281398.4	2233	2293	2783	2635	2243	2365	
ENSG00000252213.1	3	8	4	4	2	5	
ENSG00000200959.1	3	3	6	3	3	7	
ENSG00000015479.18	118	130	89	159	120	93	
ENSG00000199545.1	0	1	1	1	2	0	
ENSG00000253015.1	0	0	0	0	0	0	
ENSG00000120727.12	4524	5299	4344	5007	5021	4125	
ENSG00000272742.1	8	11	4	21	12	6	
ENSG00000170482.16	266	344	295	381	426	246	
ENSG00000170476.15	4	0	6	5	3	3	
ENSG00000228672.3	133	107	94	131	96	91	
ENSG00000170469.10	181	194	149	205	188	159	
ENSG00000170464.9	724	695	560	654	615	514	
ENSG00000279686.1	0	0	0	0	0	0	
ENSG00000200378.1	0	0	0	0	0	0	
ENSG00000249751.3	0	0	0	0	0	0	
ENSG00000283288.1	0	0	0	0	0	0	
ENSG00000184584.12	46	54	45	43	44	34	
ENSG00000249689.1	0	0	0	0	0	0	
ENSG00000249215.1	5	1	3	2	2	4	
ENSG00000131508.15	6177	6712	6226	6585	6618	6002	
ENSG00000207020.1	0	0	0	0	0	0	
ENSG00000275506.1	0	0	0	0	0	0	
ENSG00000272255.1	1	0	0	2	2	0	
ENSG00000171604.11	1892	2760	1721	2000	2456	1802	
ENSG00000250635.1	1	2	1	2	1	0	
ENSG00000249526.1	1	1	1	2	2	1	
ENSG00000200756.1	0	0	0	0	0	0	
ENSG00000249131.1	0	0	0	0	0	0	
ENSG00000251387.1	0	0	0	0	0	0	
ENSG00000271792.1	0	0	0	0	0	0	
ENSG00000146005.3	5	11	5	14	8	4	
ENSG00000158458.19	77	93	77	103	83	105	
ENSG00000250692.1	0	0	0	0	0	0	
ENSG00000207317.1	0	0	0	0	0	0	
ENSG00000245146.6	59	65	52	85	90	65	
ENSG00000185129.5	1472	1688	1504	1757	1543	1511	
ENSG00000182700.4	109	117	120	206	131	122	
ENSG00000254363.6	16	11	11	15	16	5	
ENSG00000120306.10	2650	3209	2486	2628	2912	2564	
ENSG00000250069.1	0	0	0	0	0	0	
ENSG00000113068.9	4779	5116	4911	4841	5027	4668	
ENSG00000113070.7	315	329	454	249	281	339	
ENSG00000253965.1	1	2	0	2	1	1	
ENSG00000113073.14	6	1	4	3	4	0	
ENSG00000249637.1	46	64	38	50	33	41	
ENSG00000222790.1	0	0	0	0	0	1	
ENSG00000131503.20	107	148	111	140	127	102	
ENSG00000254996.5	28	28	24	34	24	18	
ENSG00000200051.1	0	0	0	0	0	0	
ENSG00000213523.10	1823	1908	1968	1937	1878	1826	
ENSG00000243056.1	2	1	2	3	3	1	
ENSG00000113108.19	469	490	324	498	467	304	
ENSG00000283155.1	0	0	0	0	0	0	
ENSG00000283717.1	0	0	0	0	0	0	
ENSG00000176087.14	5136	5565	4694	5374	5294	4637	
ENSG00000283602.1	15	9	3	11	4	4	
ENSG00000200235.1	0	0	0	0	0	0	
ENSG00000251453.1	0	0	0	0	0	0	
ENSG00000240518.2	0	0	0	0	0	0	
ENSG00000170458.13	221	166	142	242	156	128	
ENSG00000131495.8	3654	3808	3569	3944	3706	3307	
ENSG00000113119.12	892	883	778	1002	1005	754	
ENSG00000113141.17	6404	6852	5864	6553	6919	5685	
ENSG00000284325.1	0	0	0	0	0	0	
ENSG00000120314.18	4615	4800	3969	4657	4466	3781	
ENSG00000256453.1	96	84	75	104	100	81	
ENSG00000170445.13	5897	6739	6453	6268	6874	6115	
ENSG00000112855.15	3399	3733	3319	3624	3724	3050	
ENSG00000146007.10	8579	9755	8654	8960	9674	8214	
ENSG00000199990.1	1	1	1	0	1	0	
ENSG00000202111.1	4	2	3	6	2	1	
ENSG00000202515.1	13	16	9	9	12	21	
ENSG00000250515.1	0	0	0	0	0	0	
ENSG00000248106.2	0	0	1	0	0	0	
ENSG00000204970.9	17	14	11	17	15	13	
ENSG00000279726.1	9	3	6	11	9	9	
ENSG00000204969.6	8	7	7	9	9	9	
ENSG00000255408.3	119	118	106	108	93	86	
ENSG00000204967.10	246	216	169	199	195	152	
ENSG00000204965.8	87	105	67	87	87	71	
ENSG00000081842.17	7	4	2	2	6	5	
ENSG00000204963.5	7	11	7	5	8	4	
ENSG00000204962.5	0	6	4	3	2	1	
ENSG00000204961.6	0	1	2	0	1	2	
ENSG00000278907.1	0	0	0	0	0	0	
ENSG00000250120.6	9	6	3	6	5	7	
ENSG00000249504.3	0	0	0	0	0	0	
ENSG00000278946.1	5	3	4	6	4	4	
ENSG00000249158.6	19	12	8	11	6	7	
ENSG00000251664.3	204	227	198	182	197	221	
ENSG00000278915.1	17	17	10	13	18	14	
ENSG00000278901.1	0	0	0	0	0	0	
ENSG00000239389.7	2	3	0	2	2	0	
ENSG00000248383.4	86	84	85	77	103	94	
ENSG00000279028.1	1	0	0	0	0	0	
ENSG00000243232.4	161	163	144	175	194	151	
ENSG00000279047.3	2	1	0	3	0	0	
ENSG00000171815.5	0	1	0	0	0	0	
ENSG00000279558.1	0	0	0	0	0	0	
ENSG00000112852.6	265	302	258	358	300	208	
ENSG00000272154.4	0	0	0	0	0	0	
ENSG00000113205.5	4	10	3	5	2	1	
ENSG00000272108.1	2	8	0	7	2	3	
ENSG00000081818.3	9	9	4	1	12	8	
ENSG00000113209.8	195	193	176	236	166	140	
ENSG00000280029.3	3	2	2	1	1	1	
ENSG00000113211.5	107	110	90	127	92	88	
ENSG00000255622.3	19	10	9	11	17	10	
ENSG00000280336.1	0	0	0	2	0	0	
ENSG00000113212.6	2	4	0	3	2	1	
ENSG00000120322.3	27	28	20	27	22	20	
ENSG00000279472.1	0	0	0	0	0	0	
ENSG00000272674.3	9	17	10	10	15	11	
ENSG00000279068.1	0	0	0	0	0	0	
ENSG00000278936.1	0	0	0	0	0	0	
ENSG00000177839.6	1	3	1	6	2	3	
ENSG00000279375.1	0	0	0	0	0	0	
ENSG00000120324.8	4	1	0	4	2	1	
ENSG00000197479.6	12	8	12	22	18	12	
ENSG00000120328.6	1	3	1	1	0	1	
ENSG00000187372.11	11	7	13	29	9	13	
ENSG00000120327.6	5	13	9	20	7	10	
ENSG00000279983.1	0	0	0	0	0	0	
ENSG00000146001.5	0	0	0	0	0	1	
ENSG00000262096.2	0	0	0	0	0	0	
ENSG00000113248.5	6	7	6	9	2	4	
ENSG00000277795.1	0	0	0	1	0	0	
ENSG00000178913.7	6165	6359	6156	6855	6347	5887	
ENSG00000120329.6	2	0	2	0	2	2	
ENSG00000272070.1	6	5	6	7	3	4	
ENSG00000204956.5	58	54	67	84	58	62	
ENSG00000081853.14	116	99	73	133	97	74	
ENSG00000254245.2	2	1	1	2	2	2	
ENSG00000254221.2	155	159	141	187	166	135	
ENSG00000280026.1	1	1	0	3	1	0	
ENSG00000262576.2	17	15	13	9	3	12	
ENSG00000253910.2	8	7	6	9	6	7	
ENSG00000253485.2	25	21	11	21	15	12	
ENSG00000262209.2	50	38	22	54	22	37	
ENSG00000253731.2	77	60	51	81	50	47	
ENSG00000253537.2	117	108	97	140	112	89	
ENSG00000253953.2	140	91	90	84	100	96	
ENSG00000253767.2	6	4	6	2	2	1	
ENSG00000276547.1	272	207	242	259	232	206	
ENSG00000261934.2	2	5	10	2	5	9	
ENSG00000253305.2	12	14	13	10	14	18	
ENSG00000253846.2	3	1	1	2	2	4	
ENSG00000254122.2	5	7	2	8	6	12	
ENSG00000253873.5	0	2	2	2	3	1	
ENSG00000248449.2	0	0	1	0	0	0	
ENSG00000279855.1	0	0	0	0	0	0	
ENSG00000253159.2	1	2	1	4	1	4	
ENSG00000276545.1	2	1	3	2	0	0	
ENSG00000273557.1	0	1	0	3	1	0	
ENSG00000240184.6	248	249	245	264	278	249	
ENSG00000242020.3	0	0	0	1	0	0	
ENSG00000242419.5	1	1	3	0	1	1	
ENSG00000240764.3	3	2	2	2	1	2	
ENSG00000131504.16	8394	9899	9592	8873	9632	9005	
ENSG00000246422.2	0	0	0	0	0	0	
ENSG00000240974.1	0	0	0	0	0	0	
ENSG00000228737.2	10	6	8	8	5	4	
ENSG00000171720.9	2989	3146	2885	3274	3244	2725	
ENSG00000164620.8	482	566	393	482	541	376	
ENSG00000197948.10	1371	1468	953	1396	1303	993	
ENSG00000120318.15	1331	1383	997	1400	1224	1035	
ENSG00000278925.1	0	0	0	0	0	0	
ENSG00000156453.13	54	62	53	57	57	53	
ENSG00000226040.3	2	0	1	1	1	0	
ENSG00000081791.8	3399	3691	3420	3918	3701	3151	
ENSG00000113555.5	1	1	1	1	0	0	
ENSG00000271871.1	13	16	9	19	15	9	
ENSG00000013561.17	2867	3217	2751	2905	3014	2557	
ENSG00000254099.1	1	0	0	3	0	2	
ENSG00000113552.15	3302	4561	3495	3802	4505	3042	
ENSG00000250347.1	0	0	0	1	0	0	
ENSG00000131507.10	7068	7961	6187	7713	7461	6622	
ENSG00000280047.1	18	39	27	29	18	23	
ENSG00000187678.9	614	718	580	640	648	638	
ENSG00000277968.1	0	0	0	0	0	0	
ENSG00000274721.1	0	0	0	0	0	0	
ENSG00000231185.6	46	40	28	39	49	29	
ENSG00000225147.1	0	0	0	0	0	0	
ENSG00000113578.17	27	18	43	22	23	28	
ENSG00000261757.1	0	0	0	0	1	0	
ENSG00000236714.1	2	1	1	0	3	1	
ENSG00000145819.16	1647	1827	1841	1991	1823	1780	
ENSG00000226272.5	0	0	0	0	0	0	
ENSG00000285366.1	0	0	0	0	0	0	
ENSG00000230789.1	0	0	0	1	0	0	
ENSG00000113580.14	10831	11596	10976	13163	11147	10100	
ENSG00000231579.3	2	2	4	12	1	0	
ENSG00000279679.1	0	0	0	0	0	0	
ENSG00000279130.1	7	7	4	12	3	2	
ENSG00000249429.1	0	0	0	1	0	0	
ENSG00000253023.1	0	0	0	0	0	0	
ENSG00000251205.2	6	3	4	3	9	0	
ENSG00000249881.1	2	2	1	0	1	0	
ENSG00000266478.1	0	0	0	0	0	0	
ENSG00000225869.4	1	0	0	1	0	0	
ENSG00000158497.3	0	0	0	0	0	0	
ENSG00000239390.3	0	0	0	0	0	0	
ENSG00000145817.16	4326	4537	4104	4570	4118	3876	
ENSG00000183775.10	29	30	28	29	33	23	
ENSG00000249605.1	0	0	0	0	0	0	
ENSG00000285605.1	0	0	0	0	0	0	
ENSG00000250972.1	0	0	0	0	0	0	
ENSG00000213488.4	1	1	0	0	0	0	
ENSG00000201423.1	0	0	0	0	0	0	
ENSG00000249229.2	0	0	0	0	0	0	
ENSG00000251031.1	1	0	0	0	0	0	
ENSG00000215325.4	0	0	0	0	0	0	
ENSG00000250842.1	1	0	0	0	0	0	
ENSG00000248125.1	0	0	0	0	0	0	
ENSG00000186314.11	370	393	325	405	369	324	
ENSG00000249363.1	7	6	4	2	4	2	
ENSG00000204928.2	0	0	0	0	0	0	
ENSG00000156463.17	676	761	749	761	776	742	
ENSG00000248493.1	1	1	1	2	1	0	
ENSG00000173261.8	28	26	25	26	23	31	
ENSG00000251556.1	6	2	1	4	1	1	
ENSG00000133706.17	11250	12227	12639	13155	12775	11402	
ENSG00000239602.1	0	1	0	0	0	0	
ENSG00000239317.1	0	0	0	0	0	0	
ENSG00000275740.1	0	0	0	0	0	0	
ENSG00000091009.7	1409	1429	1271	1642	1437	1313	
ENSG00000238374.1	0	0	0	0	0	0	
ENSG00000250025.2	0	0	0	0	0	0	
ENSG00000091010.5	7	7	6	7	9	6	
ENSG00000271724.1	0	0	0	0	0	0	
ENSG00000248842.1	0	0	0	0	0	0	
ENSG00000113649.11	5840	7045	6428	6935	6707	5860	
ENSG00000277568.1	0	1	0	2	0	1	
ENSG00000173250.2	0	0	0	0	0	0	
ENSG00000250407.1	0	0	0	0	0	0	
ENSG00000156475.18	6	2	8	3	6	5	
ENSG00000280646.2	0	0	0	0	0	0	
ENSG00000241291.3	0	0	0	0	0	0	
ENSG00000248568.1	8	11	5	14	8	3	
ENSG00000249553.1	0	0	0	0	0	0	
ENSG00000250343.1	2	0	1	1	3	1	
ENSG00000169302.15	72	73	52	81	68	51	
ENSG00000113657.12	4083	3636	3919	4704	3771	3675	
ENSG00000272239.1	0	0	0	0	0	0	
ENSG00000280780.2	0	0	0	0	0	0	
ENSG00000176049.15	0	0	0	0	1	0	
ENSG00000164266.10	1	3	1	3	4	0	
ENSG00000249518.1	0	0	0	0	0	0	
ENSG00000164265.8	0	0	0	0	0	0	
ENSG00000178776.4	0	0	0	0	0	0	
ENSG00000248362.1	0	0	0	0	0	0	
ENSG00000251320.1	0	0	0	0	0	0	
ENSG00000250346.1	0	0	0	0	0	0	
ENSG00000133710.15	0	0	0	0	0	0	
ENSG00000196800.6	0	0	0	0	0	0	
ENSG00000178172.6	16	24	23	18	15	16	
ENSG00000249503.1	0	0	0	0	0	0	
ENSG00000248109.2	5	3	6	4	3	2	
ENSG00000214510.9	2	2	4	2	6	2	
ENSG00000247199.4	7	4	4	6	6	3	
ENSG00000249834.3	0	0	0	0	0	0	
ENSG00000145879.10	0	0	0	0	0	0	
ENSG00000204909.7	0	0	0	0	0	0	
ENSG00000283653.1	0	0	0	0	0	0	
ENSG00000145868.16	1837	2218	1923	2267	2216	1797	
ENSG00000274799.1	0	0	0	3	0	1	
ENSG00000251330.3	0	0	0	0	0	0	
ENSG00000164270.17	0	0	0	0	0	0	
ENSG00000253297.1	0	0	0	0	0	0	
ENSG00000169252.5	48	49	67	29	50	66	
ENSG00000169247.12	63	54	62	29	47	54	
ENSG00000272411.1	0	0	0	0	0	0	
ENSG00000251842.1	0	0	0	0	0	0	
ENSG00000207714.3	0	0	0	0	0	0	
ENSG00000250072.5	2	4	9	4	5	8	
ENSG00000200161.1	0	0	0	0	0	0	
ENSG00000173210.19	583	483	559	672	483	571	
ENSG00000248647.2	0	0	0	0	0	0	
ENSG00000253406.1	3	0	0	0	0	2	
ENSG00000157510.13	518	564	504	497	524	519	
ENSG00000285736.1	4	0	0	0	4	2	
ENSG00000164284.14	1346	1516	1416	1515	1432	1324	
ENSG00000253618.1	1	0	0	1	0	1	
ENSG00000145882.10	219	236	191	297	283	198	
ENSG00000127743.5	2	0	4	7	6	2	
ENSG00000253865.1	2	2	1	3	1	0	
ENSG00000249669.9	28	30	13	28	28	20	
ENSG00000275871.1	0	0	0	0	0	0	
ENSG00000284182.1	0	0	0	0	0	0	
ENSG00000276365.1	2	1	1	1	1	0	
ENSG00000113712.17	6179	6737	6120	7007	6431	5859	
ENSG00000230551.4	928	910	944	1264	942	843	
ENSG00000241112.1	3	1	3	1	2	3	
ENSG00000183111.11	243	270	205	264	248	196	
ENSG00000222213.1	0	0	0	0	0	0	
ENSG00000221043.2	0	0	0	0	0	0	
ENSG00000242928.3	0	0	0	0	0	0	
ENSG00000155846.16	579	745	698	843	698	667	
ENSG00000199047.3	0	0	0	0	0	0	
ENSG00000132915.10	86	83	54	88	60	59	
ENSG00000251583.1	9	26	5	17	16	13	
ENSG00000200334.1	0	0	0	0	0	0	
ENSG00000155850.7	8828	11185	10645	10151	9854	10640	
ENSG00000164296.6	443	502	420	483	521	365	
ENSG00000113716.12	3606	4328	3576	3731	3918	3466	
ENSG00000248696.1	0	0	0	0	0	0	
ENSG00000241907.1	0	0	0	0	1	0	
ENSG00000182578.13	4	2	1	4	5	2	
ENSG00000214485.6	262	130	185	335	141	115	
ENSG00000199409.1	0	0	0	0	0	0	
ENSG00000113721.13	47	29	13	44	25	17	
ENSG00000113722.16	0	0	0	0	0	0	
ENSG00000011083.8	2	0	2	0	3	1	
ENSG00000070808.15	220	222	156	275	183	137	
ENSG00000183876.8	2722	2762	1956	2816	2393	2137	
ENSG00000070814.19	8145	9631	9545	8909	9431	9135	
ENSG00000019582.14	2	1	1	2	1	3	
ENSG00000164587.12	59237	65378	49752	70481	66042	56386	
ENSG00000254333.1	1	7	4	2	5	6	
ENSG00000070614.14	14138	13791	14992	15199	13068	14468	
ENSG00000171992.12	9774	8620	8676	9351	7497	8994	
ENSG00000253852.1	0	0	0	0	0	0	
ENSG00000164591.13	9	7	8	5	10	10	
ENSG00000250309.2	1	0	0	0	0	0	
ENSG00000086589.11	2972	3431	3370	3213	3311	3051	
ENSG00000132912.12	3047	3220	3163	3125	3073	2913	
ENSG00000256235.2	275	340	210	267	283	237	
ENSG00000237693.4	0	2	1	0	0	0	
ENSG00000145908.12	813	733	803	940	767	757	
ENSG00000197083.11	0	0	1	0	1	1	
ENSG00000274235.1	0	0	1	0	0	0	
ENSG00000277866.1	0	0	0	0	0	0	
ENSG00000211445.11	742	939	912	564	840	836	
ENSG00000145901.15	5384	5816	6762	5536	5603	6744	
ENSG00000197043.13	4432	4756	3908	4823	4704	3651	
ENSG00000254298.1	0	0	0	0	0	0	
ENSG00000285420.1	0	0	0	0	0	0	
ENSG00000198624.12	368	394	290	349	347	316	
ENSG00000196743.8	2629	3039	2532	2820	2981	2551	
ENSG00000186334.9	0	0	0	0	0	0	
ENSG00000186335.8	0	0	1	0	0	0	
ENSG00000270904.1	0	0	0	0	0	0	
ENSG00000253897.2	0	0	0	0	0	0	
ENSG00000253472.1	0	0	0	0	0	0	
ENSG00000271494.1	0	0	0	0	0	0	
ENSG00000123643.12	1547	1828	1510	1548	1673	1470	
ENSG00000200227.1	0	0	0	0	0	0	
ENSG00000086570.12	4	10	5	8	6	7	
ENSG00000271795.1	9	15	10	28	16	9	
ENSG00000276622.1	0	0	0	0	0	0	
ENSG00000260581.1	0	0	0	0	1	0	
ENSG00000113140.10	2819	3079	2005	3189	2747	2018	
ENSG00000249035.6	2	1	0	3	1	0	
ENSG00000222102.1	0	0	0	0	1	0	
ENSG00000272112.1	2	3	1	1	1	0	
ENSG00000177556.11	2796	3035	2784	3226	3142	2630	
ENSG00000253921.1	0	0	0	0	0	0	
ENSG00000213433.5	31	30	22	29	33	16	
ENSG00000275765.5	102	120	75	117	102	80	
ENSG00000145907.14	17383	19631	18564	20640	19014	17571	
ENSG00000145888.10	0	0	0	0	0	0	
ENSG00000270978.1	0	0	2	0	0	0	
ENSG00000222308.1	0	0	0	0	0	0	
ENSG00000254226.5	2	1	3	1	4	0	
ENSG00000132911.4	0	0	0	0	0	0	
ENSG00000242080.1	0	0	0	0	0	0	
ENSG00000249484.8	0	2	0	0	0	0	
ENSG00000155511.17	0	0	1	0	0	0	
ENSG00000242976.3	0	0	0	0	0	0	
ENSG00000251183.1	0	0	0	0	0	0	
ENSG00000261382.1	0	0	0	0	0	0	
ENSG00000055147.18	1108	1162	1139	1244	1146	1065	
ENSG00000037749.12	1841	2112	1921	2105	1973	1891	
ENSG00000164574.15	21490	22663	21531	23065	20395	20371	
ENSG00000245275.7	26	33	25	32	30	21	
ENSG00000253119.1	3	1	1	0	1	1	
ENSG00000221430.1	0	0	0	0	0	0	
ENSG00000241963.3	0	0	0	0	0	0	
ENSG00000164576.11	1649	1986	1533	1777	1649	1406	
ENSG00000113196.2	2	1	4	6	3	3	
ENSG00000254293.1	0	0	0	0	0	0	
ENSG00000253886.1	1	1	0	2	0	0	
ENSG00000253146.1	0	0	0	0	0	0	
ENSG00000264760.1	0	0	0	0	0	0	
ENSG00000221552.1	0	0	0	0	0	0	
ENSG00000274472.1	1	0	0	1	0	0	
ENSG00000155506.16	20556	24746	23751	25066	23487	23186	
ENSG00000272197.2	0	1	0	0	0	0	
ENSG00000241187.1	0	0	0	0	0	0	
ENSG00000170271.10	22	14	16	19	18	8	
ENSG00000277039.1	2	1	5	6	1	1	
ENSG00000263361.1	4	1	2	1	3	3	
ENSG00000155508.13	3085	3480	2726	3303	3229	2626	
ENSG00000082516.8	4056	4733	4893	4265	4483	4352	
ENSG00000082515.17	2260	2580	2470	2410	2446	2176	
ENSG00000253261.1	0	0	0	0	0	0	
ENSG00000226650.5	15	13	17	17	10	11	
ENSG00000253646.1	0	0	0	0	0	0	
ENSG00000271477.1	0	0	0	0	0	0	
ENSG00000270442.1	1	0	2	0	0	0	
ENSG00000200275.1	0	0	0	0	0	0	
ENSG00000170624.13	1189	1314	1239	1497	1296	1134	
ENSG00000253370.2	0	0	0	0	0	0	
ENSG00000254163.1	0	1	0	1	0	3	
ENSG00000199468.1	0	0	0	0	0	0	
ENSG00000231989.4	3	2	2	3	1	0	
ENSG00000145850.8	134	154	129	115	127	98	
ENSG00000270560.1	0	0	0	0	0	0	
ENSG00000113249.12	5910	6709	6129	5249	5714	5165	
ENSG00000135077.8	9	15	10	10	8	6	
ENSG00000254246.1	0	1	0	0	0	0	
ENSG00000155868.7	982	1158	1010	1038	997	974	
ENSG00000113263.12	1	2	2	2	0	0	
ENSG00000170613.4	0	0	0	0	0	0	
ENSG00000253980.1	0	0	0	0	0	0	
ENSG00000253653.1	1	2	5	0	0	2	
ENSG00000055163.19	2971	2919	3442	2957	2871	3253	
ENSG00000285868.1	11	7	8	8	11	6	
ENSG00000172568.4	0	0	0	0	0	0	
ENSG00000251405.3	10	4	3	3	2	2	
ENSG00000248544.2	10	7	12	12	5	11	
ENSG00000135074.15	3858	3845	3077	4419	3222	3030	
ENSG00000253155.1	0	0	1	0	0	0	
ENSG00000172548.14	1210	1198	1080	1051	989	1026	
ENSG00000253519.1	0	0	0	0	0	0	
ENSG00000252068.1	0	0	0	0	0	0	
ENSG00000254336.1	0	0	0	0	0	0	
ENSG00000039600.10	16	10	2	4	9	6	
ENSG00000187658.6	0	0	0	0	1	0	
ENSG00000253798.2	0	0	0	0	0	0	
ENSG00000113272.13	2017	2053	2242	2381	2180	1999	
ENSG00000155858.5	689	844	721	729	749	671	
ENSG00000253630.1	0	0	0	0	0	0	
ENSG00000113282.13	10243	11147	10303	10712	10497	9653	
ENSG00000206819.1	0	0	0	0	0	0	
ENSG00000244331.1	1	1	1	0	0	0	
ENSG00000222626.1	0	0	0	0	0	0	
ENSG00000253743.1	0	0	0	0	0	0	
ENSG00000213414.3	0	0	1	3	1	0	
ENSG00000253422.1	0	0	0	0	0	0	
ENSG00000253792.1	0	0	0	0	0	0	
ENSG00000253673.1	0	0	0	0	0	0	
ENSG00000254047.2	0	0	0	0	0	0	
ENSG00000253449.1	0	0	0	0	0	0	
ENSG00000253424.1	0	0	0	0	0	0	
ENSG00000253134.1	0	0	0	0	0	0	
ENSG00000276778.1	0	0	0	0	0	0	
ENSG00000254350.1	0	0	0	0	0	0	
ENSG00000272085.1	0	0	0	0	0	0	
ENSG00000254135.2	0	0	0	0	0	0	
ENSG00000164330.16	77	101	55	112	89	69	
ENSG00000253811.1	0	0	0	0	0	0	
ENSG00000253456.1	0	0	0	0	0	0	
ENSG00000245812.2	0	4	1	8	5	1	
ENSG00000279204.1	5	3	3	6	1	4	
ENSG00000145860.11	12743	15087	11515	12172	12872	11287	
ENSG00000253256.1	33	34	33	30	39	23	
ENSG00000253315.1	5	2	5	1	2	6	
ENSG00000252458.1	0	0	0	0	0	0	
ENSG00000164332.7	3380	3556	3545	3977	3518	3297	
ENSG00000249738.10	49	55	47	35	39	38	
ENSG00000113302.4	6	11	5	7	6	6	
ENSG00000221601.1	0	0	0	0	0	0	
ENSG00000253298.1	1	0	0	0	0	1	
ENSG00000283413.1	65	62	63	64	54	64	
ENSG00000253311.2	0	1	0	2	0	0	
ENSG00000170214.4	842	793	565	607	689	477	
ENSG00000248626.1	13	7	4	17	4	4	
ENSG00000199398.1	0	0	0	0	0	0	
ENSG00000113312.10	4045	4534	4054	4114	4211	4052	
ENSG00000223908.5	0	0	0	0	0	0	
ENSG00000170234.12	1027	1171	1122	1163	1014	1035	
ENSG00000170231.15	23	16	17	24	36	33	
ENSG00000247699.2	0	0	0	0	0	0	
ENSG00000253772.1	0	0	0	0	0	0	
ENSG00000135083.15	987	988	810	871	848	801	
ENSG00000254373.1	11	3	5	8	1	2	
ENSG00000270612.1	1	1	0	0	0	1	
ENSG00000145861.7	8	9	8	7	8	6	
ENSG00000221886.3	278	329	289	269	311	257	
ENSG00000164609.9	3558	3737	3167	3866	3709	3045	
ENSG00000164611.12	3490	4123	3961	4140	4152	3893	
ENSG00000253522.6	0	1	0	0	1	0	
ENSG00000265237.1	0	0	0	0	0	0	
ENSG00000283733.1	0	0	0	0	0	0	
ENSG00000118322.13	0	0	0	0	0	0	
ENSG00000253687.1	0	0	0	0	0	0	
ENSG00000254391.1	0	0	0	0	0	0	
ENSG00000253417.5	0	1	0	0	0	0	
ENSG00000145864.12	0	0	0	0	0	0	
ENSG00000145863.10	0	0	0	0	0	0	
ENSG00000253403.1	0	0	0	0	0	0	
ENSG00000118990.5	0	0	0	1	0	0	
ENSG00000022355.16	0	0	0	0	0	0	
ENSG00000280776.1	0	0	0	0	0	0	
ENSG00000113327.16	0	0	0	0	1	0	
ENSG00000254186.2	3	6	8	7	8	8	
ENSG00000201474.1	1	0	0	0	0	0	
ENSG00000254351.1	0	0	0	0	0	0	
ENSG00000249449.1	0	0	0	0	0	0	
ENSG00000250114.1	0	0	0	0	0	0	
ENSG00000113328.18	4737	5785	5342	5227	5136	4964	
ENSG00000170584.10	2760	2987	2507	3056	2902	2676	
ENSG00000072571.19	2954	3651	3609	3584	3918	3525	
ENSG00000251018.2	0	3	1	10	1	0	
ENSG00000038274.16	4404	4947	3995	4873	4639	3966	
ENSG00000285590.1	0	0	0	0	0	0	
ENSG00000224012.3	0	0	0	0	0	0	
ENSG00000251998.1	0	0	0	0	0	0	
ENSG00000273569.1	0	0	0	0	0	0	
ENSG00000271679.1	0	0	0	0	0	0	
ENSG00000253331.1	0	0	0	0	0	0	
ENSG00000253538.1	0	0	0	0	0	0	
ENSG00000241956.9	2	0	0	0	0	0	
ENSG00000253236.1	0	0	0	0	0	0	
ENSG00000253600.1	0	0	0	0	0	0	
ENSG00000206845.1	0	0	0	0	0	0	
ENSG00000285549.1	0	0	0	0	0	0	
ENSG00000254066.1	0	0	0	0	0	0	
ENSG00000253693.1	0	0	0	0	0	0	
ENSG00000252794.1	0	0	0	0	0	0	
ENSG00000253512.1	0	0	0	0	0	0	
ENSG00000253946.1	0	0	0	0	0	0	
ENSG00000254252.1	2	0	0	1	0	0	
ENSG00000254171.1	0	0	0	0	0	0	
ENSG00000229119.3	36	50	13	25	13	11	
ENSG00000254130.1	1	0	0	1	0	0	
ENSG00000253713.1	0	0	0	0	0	0	
ENSG00000253469.1	0	0	0	0	1	0	
ENSG00000145934.16	139	161	89	173	120	91	
ENSG00000254365.1	0	0	0	0	0	0	
ENSG00000254297.1	0	0	1	0	0	0	
ENSG00000253527.1	0	0	0	0	0	0	
ENSG00000254187.1	1	0	1	0	0	0	
ENSG00000253357.1	0	0	0	0	0	0	
ENSG00000253660.1	0	0	0	0	2	0	
ENSG00000253947.1	0	0	0	0	0	0	
ENSG00000253065.1	0	0	0	0	0	0	
ENSG00000253925.1	0	0	0	0	0	0	
ENSG00000279739.1	1	0	0	0	0	0	
ENSG00000253978.1	48	44	53	40	58	53	
ENSG00000113645.14	10026	11301	12306	11278	11593	11582	
ENSG00000113643.8	7600	8473	8086	8125	8221	7572	
ENSG00000188573.7	12	5	12	8	10	7	
ENSG00000120137.6	5331	5946	4792	6375	5260	4749	
ENSG00000253861.1	0	0	0	0	0	0	
ENSG00000199035.2	0	0	0	0	1	0	
ENSG00000283612.1	0	0	0	0	0	0	
