gene_name	A549_0_1	A549_0_2	A549_0_3	A549_25_1	A549_25_2	A549_25_3
ENSG00000273497.1	0.0016696481812760882	0.0017252572857555063	0.0020613726868118996	0.0019669742593491986	0.0018394779262648848	0.002137568833963279
ENSG00000174721.9	7.288146823030544e-05	0.00011421563912667116	0.00010039152695512498	0.0001457017969888295	7.149914201029587e-05	0.00010617063744850724
ENSG00000272817.1	0.02608494003842841	0.026383812638261037	0.02837064551751832	0.027762263234579893	0.027598668815974208	0.02649311306465084
ENSG00000095564.13	0.00045053998542370636	0.000685293834760027	0.00035471672857477493	0.0005220981058766391	0.00043549477406271126	0.0003822142948146261
ENSG00000107864.14	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000252993.1	5.9630292188431724e-05	1.8034048283158603e-05	1.3385536927349998e-05	5.463817387081107e-05	1.9499766002807968e-05	7.078042496567149e-06
ENSG00000214549.2	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213484.2	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000221042.1	0.0029682634333797124	0.002903481773588535	0.0034266974534015995	0.0029079650315687227	0.0033019603764754824	0.0032912897609037243
ENSG00000105988.6	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000199881.1	0.02049956933677864	0.020679042031355198	0.019154703343037847	0.021867411364740165	0.02146924236909157	0.02048385498506533
ENSG00000198060.9	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000202297.1	6.625588020936858e-06	0.0	0.0	0.0	0.0	0.0
ENSG00000232709.1	0.03363148479427549	0.034691497547369436	0.03442090820868052	0.03451918406993686	0.034586084966980395	0.03243866876176724
ENSG00000119912.16	0.040144437818856425	0.04301120515533327	0.050751263260047516	0.04922899465760077	0.04901591180905829	0.0454197987004714
ENSG00000138160.5	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000184111.6	0.0	1.8034048283158603e-05	2.0078305391024995e-05	6.070908207867897e-06	0.0	0.0
ENSG00000264313.2	0.00043728880938183264	0.00046287390593440414	0.0005554997824850249	0.00045531811559009226	0.00048749415007019915	0.0004317605922905961
ENSG00000236493.2	0.00681110448552309	0.006822881600461671	0.006023491617307499	0.006623360854783876	0.006798918412979044	0.005485482934839541
ENSG00000152804.10	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000201412.1	0.013092161929371232	0.013531547561796671	0.013546163370478198	0.012985672656629432	0.013961832458010503	0.012768788663807137
ENSG00000138190.16	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000225118.1	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000226425.1	1.3251176041873716e-05	0.0	1.3385536927349998e-05	1.2141816415735793e-05	1.2999844001871978e-05	4.954629747597005e-05
ENSG00000187553.8	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000285846.1	1.9876764062810574e-05	6.011349427719534e-06	1.3385536927349998e-05	0.0	6.499922000935989e-06	7.078042496567149e-06
ENSG00000279607.1	0.0020141787583648047	0.0015328941040684812	0.0021617642137670245	0.0014813016027197669	0.0014559825282096615	0.002130490791466712
ENSG00000095596.11	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000232805.1	0.0005830517458424435	0.0005891122439165144	0.0006692768463674999	0.0006920835356969402	0.000578493058083303	0.0006582579521807449
ENSG00000237417.1	0.0009474590869939707	0.000787486775031259	0.0008232105210320249	0.0007710053423992229	0.0007474910301076387	0.0008210529296017893
ENSG00000213432.2	0.2266216126681243	0.2258163412522843	0.2676438108623632	0.2069572608062166	0.21803988352139775	0.25533330502116336
ENSG00000138119.16	0.034274166832306364	0.035659324805232276	0.03988220727503932	0.03388173870811073	0.03727055275336696	0.038702736371229174
ENSG00000138180.15	0.0	6.011349427719534e-06	0.0	0.0	0.0	0.0
ENSG00000212396.1	0.000278274696879348	0.00016230643454842743	0.00016062644312819996	0.0002003399708596406	0.0001234985180177838	0.00019110714740731304
ENSG00000186188.10	0.0014046246604386139	0.001496826007502164	0.0016129571997456748	0.0015662943176299174	0.0020799750402995163	0.0017341204116589515
ENSG00000138207.13	1.3251176041873716e-05	0.0	1.3385536927349998e-05	0.0	1.2999844001871978e-05	7.078042496567149e-06
ENSG00000095464.9	0.00936195587358378	0.00969029527748389	0.009396646922999699	0.011437591063623118	0.010555873329520045	0.010808170892258037
ENSG00000148690.11	0.0	6.011349427719534e-06	0.0	0.0	0.0	0.0
ENSG00000108231.12	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000280660.1	0.0	0.0	0.0	6.070908207867897e-06	0.0	0.0
ENSG00000280485.1	0.0	0.0	0.0	6.070908207867897e-06	0.0	0.0
ENSG00000227995.1	0.008931292652222885	0.009149273828989132	0.008821068835123649	0.00805002428363283	0.008111902657168114	0.0093076258829858
ENSG00000176273.14	0.003504936063075598	0.003727036645186111	0.004015661078204999	0.00375182127246236	0.004361447662628049	0.004176045072974618
ENSG00000180764.13	0.02635658914728682	0.021676926036356643	0.02344476792825352	0.01934191355026712	0.019018771774738704	0.022026868249316968
ENSG00000138193.15	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000232913.8	0.0	0.0	0.0	6.070908207867897e-06	0.0	0.0
ENSG00000231575.1	5.3004704167494865e-05	1.8034048283158603e-05	3.3463842318375e-05	3.642544924720738e-05	3.8999532005615936e-05	6.370238246910434e-05
ENSG00000234724.1	0.0	0.0	0.0	0.0	0.0	7.078042496567149e-06
ENSG00000206631.1	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000228553.1	1.9876764062810574e-05	3.0056747138597672e-05	3.3463842318375e-05	3.0354541039339484e-05	6.499922000935989e-06	1.4156084993134299e-05
ENSG00000268894.6	1.3251176041873716e-05	1.8034048283158603e-05	3.3463842318375e-05	6.070908207867897e-06	1.2999844001871978e-05	3.539021248283575e-05
ENSG00000273450.1	0.016232690651295303	0.017913821294604212	0.022942810293477896	0.01789096648858669	0.020507253912953046	0.021595107657026373
ENSG00000173145.11	0.004677665142781422	0.004857170337597384	0.004838871599237024	0.005020641087906751	0.0050699391607300715	0.004876771280134766
ENSG00000108239.8	0.02517723447956006	0.02583677984033856	0.027547434996486295	0.025121418164157357	0.027455670531953618	0.026401098512195468
ENSG00000119969.14	5.3004704167494865e-05	5.410214484947581e-05	2.0078305391024995e-05	0.00012141816415735794	5.84992980084239e-05	2.8312169986268597e-05
